                                                                                                                                                                                                                  
                                                                                                                                                                                                                  
                                                                                                                                                                                                                  
                 B     B     B     B     B     B     B     B     B     B     B     B     B     B     B     B     E     E     E     E     E     E     E     E     E     E     E     E     E     E     E     E     E
                 r     r     r     r     r     r     r     r     r     r     r     r     r     r     r     r     g     g     g     g     g     g     g     g     g     g     g     g     g     g     g     g     g
                 o     o     o     o     o     o     o     o     o     o     o     o     o     o     o     o     g     g     g     g     g     g     g     g     g     g     g     g     g     g     g     g     g
                 _     _     _     _     _     _     _     _     _     _     _     _     _     _     _     _     _     _     _     _     _     _     _     _     _     _     _     _     _     _     _     _     _
                 S     S     S     S     S     S     S     S     S     S     S     S     S     S     S     S     S     S     S     S     S     S     S     S     S     S     S     S     S     S     S     S     S
                 0     0     0     0     1     1     1     1     1     1     1     1     2     2     2     2     0     0     0     0     1     1     1     1     1     1     1     1     2     2     5     5     5
                 6     7     8     9     0     2     3     4     6     7     8     9     0     2     3     4     6     7     8     9     1     2     3     4     5     6     7     9     0     5     3     4     5

   Bro_S06    1.00  0.70  0.65  0.63  0.76  0.71  0.38  0.49  0.57  0.57  0.75  0.71  0.53  0.69  0.58  0.55  0.20  0.32  0.20  0.19  0.15  0.15  0.15  0.15  0.19  0.11  0.19  0.26  0.16  0.27  0.19  0.27  0.23
   Bro_S07    0.70  1.00  0.63  0.69  0.78  0.68  0.44  0.54  0.55  0.54  0.71  0.63  0.53  0.69  0.57  0.58  0.18  0.30  0.19  0.18  0.12  0.12  0.15  0.16  0.17  0.12  0.16  0.26  0.17  0.25  0.20  0.27  0.21
   Bro_S08    0.65  0.63  1.00  0.58  0.67  0.60  0.47  0.52  0.52  0.71  0.63  0.58  0.51  0.60  0.58  0.47  0.25  0.27  0.23  0.22  0.18  0.15  0.14  0.15  0.22  0.11  0.22  0.21  0.16  0.22  0.24  0.24  0.20
   Bro_S09    0.63  0.69  0.58  1.00  0.68  0.68  0.46  0.53  0.53  0.56  0.66  0.69  0.62  0.78  0.64  0.57  0.18  0.27  0.17  0.16  0.12  0.14  0.13  0.13  0.16  0.09  0.16  0.22  0.14  0.22  0.18  0.24  0.19
   Bro_S10    0.76  0.78  0.67  0.68  1.00  0.75  0.48  0.51  0.61  0.59  0.76  0.67  0.51  0.73  0.55  0.57  0.17  0.28  0.18  0.17  0.11  0.14  0.15  0.14  0.17  0.10  0.15  0.23  0.15  0.24  0.19  0.25  0.20
   Bro_S12    0.71  0.68  0.60  0.68  0.75  1.00  0.46  0.51  0.61  0.52  0.70  0.67  0.61  0.73  0.60  0.58  0.23  0.29  0.18  0.18  0.13  0.16  0.14  0.14  0.17  0.10  0.17  0.24  0.15  0.25  0.19  0.26  0.21
   Bro_S13    0.38  0.44  0.47  0.46  0.48  0.46  1.00  0.42  0.51  0.55  0.49  0.42  0.48  0.43  0.46  0.48  0.19  0.20  0.15  0.18  0.12  0.12  0.14  0.13  0.14  0.11  0.15  0.17  0.13  0.17  0.19  0.19  0.18
   Bro_S14    0.49  0.54  0.52  0.53  0.51  0.51  0.42  1.00  0.52  0.55  0.61  0.53  0.47  0.51  0.49  0.53  0.20  0.20  0.14  0.15  0.09  0.11  0.12  0.09  0.14  0.05  0.13  0.16  0.11  0.16  0.12  0.15  0.14
   Bro_S16    0.57  0.55  0.52  0.53  0.61  0.61  0.51  0.52  1.00  0.58  0.62  0.55  0.50  0.60  0.48  0.56  0.17  0.26  0.18  0.17  0.11  0.13  0.14  0.13  0.16  0.10  0.15  0.21  0.15  0.22  0.18  0.22  0.21
   Bro_S17    0.57  0.54  0.71  0.56  0.59  0.52  0.55  0.55  0.58  1.00  0.60  0.55  0.56  0.54  0.62  0.47  0.24  0.26  0.25  0.24  0.20  0.16  0.15  0.16  0.25  0.10  0.23  0.23  0.16  0.22  0.26  0.25  0.21
